interatomic distance(nm), energy(K), force(nN), time elapsed
0.374287790730, -125.654638209415, -7.801194092910, 0.0339
0.374216787513, -125.648926112361, -8.288810445238, 0.0342
0.374146157771, -125.642899891095, -8.775766388420, 0.0345
0.374075923446, -125.636565689932, -9.261885901213, 0.0348
0.374006106442, -125.629930084614, -9.746990851931, 0.0351
0.373936728614, -125.623000078113, -10.230901076254, 0.0354
0.373867811768, -125.615783095750, -10.713434459331, 0.0357
0.373799377644, -125.608286979619, -11.194407022181, 0.0360
0.373731447914, -125.600519982304, -11.673633012377, 0.0363
0.373664044171, -125.592490759895, -12.150924999014, 0.0366
0.373597187919, -125.584208364294, -12.626093971927, 0.0369
0.373530900569, -125.575682234808, -13.098949445138, 0.0372
0.373465203426, -125.566922189034, -13.569299564482, 0.0375
0.373400117683, -125.557938413044, -14.036951219376, 0.0378
0.373335664411, -125.548741450852, -14.501710158668, 0.0381
0.373271864549, -125.539342193188, -14.963381110498, 0.0384
0.373208738901, -125.529751865582, -15.421767906094, 0.0387
0.373146308119, -125.519982015758, -15.876673607424, 0.0390
0.373084592700, -125.510044500352, -16.327900638599, 0.0393
0.373023612975, -125.499951470965, -16.775250920933, 0.0396
0.372963389100, -125.489715359574, -17.218526011531, 0.0399
0.372903941049, -125.479348863291, -17.657527245290, 0.0402
0.372845288600, -125.468864928520, -18.092055880180, 0.0405
0.372787451333, -125.458276734496, -18.521913245645, 0.0408
0.372730448615, -125.447597676254, -18.946900893991, 0.0411
0.372674299595, -125.436841347038, -19.366820754577, 0.0414
0.372619023194, -125.426021520163, -19.781475290652, 0.0417
0.372564638095, -125.415152130380, -20.190667658641, 0.0420
0.372511162734, -125.404247254750, -20.594201869698, 0.0423
0.372458615293, -125.393321093059, -20.991882953317, 0.0426
0.372407013691, -125.382387947817, -21.383517122805, 0.0429
0.372356375573, -125.371462203854, -21.768911942377, 0.0432
0.372306718305, -125.360558307557, -22.147876495668, 0.0435
0.372258058961, -125.349690745788, -22.520221555422, 0.0438
0.372210414317, -125.338874024499, -22.885759754108, 0.0441
0.372163800845, -125.328122647103, -23.244305755227, 0.0444
0.372118234698, -125.317451092631, -23.595676425055, 0.0447
0.372073731708, -125.306873793706, -23.939691004556, 0.0450
0.372030307376, -125.296405114387, -24.276171281200, 0.0453
0.371987976862, -125.286059327926, -24.604941760429, 0.0456
0.371946754980, -125.275850594461, -24.925829836477, 0.0459
0.371906656187, -125.265792938718, -25.238665962286, 0.0462
0.371867694580, -125.255900227736, -25.543283818225, 0.0465
0.371829883883, -125.246186148686, -25.839520479330, 0.0468
0.371793237444, -125.236664186804, -26.127216580791, 0.0471
0.371757768225, -125.227347603509, -26.406216481390, 0.0474
0.371723488797, -125.218249414729, -26.676368424605, 0.0477
0.371690411333, -125.209382369490, -26.937524697106, 0.0480
0.371658547599, -125.200758928824, -27.189541784346, 0.0483
0.371627908951, -125.192391245019, -27.432280522973, 0.0486
0.371598506324, -125.184291141273, -27.665606249785, 0.0489
0.371570350233, -125.176470091793, -27.889388946948, 0.0492
0.371543450761, -125.168939202378, -28.103503383213, 0.0495
0.371517817553, -125.161709191537, -28.307829250850, 0.0498
0.371493459818, -125.154790372179, -28.502251298067, 0.0501
0.371470386314, -125.148192633914, -28.686659456631, 0.0504
